task_run__calibration,task_run__created,task_run__finish_time,task_run__id,task_run__info,task_run__project_id,task_run__task_id,task_run__timeout,task_run__user_id,task_run__user_ip,task_runinfo__ebolaallprotective,task_runinfo__ebolaanyprotective,task_runinfo__ebolacleaning,task_runinfo__ebolapeople,task_runinfo__img,task_runinfo__isMigrated,task_runinfo__son_app_id,task_runinfo__task_id
None,2015-05-04T16:00:23.410314,2015-05-04T16:00:23.410332,8,"{""ebolacleaning"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolaallprotective"": ""Yes"", ""img"": ""http://news.bbcimg.co.uk/media/images/78061000/jpg/_78061815_hi023764851-1.jpg"", ""ebolapeople"": ""Yes""}",27,547,None,1,None,Yes,Yes,Yes,Yes,http://news.bbcimg.co.uk/media/images/78061000/jpg/_78061815_hi023764851-1.jpg,,,
None,2015-05-07T10:40:30.545760,2015-05-07T10:40:30.545779,57,"{""ebolacleaning"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolaallprotective"": ""Yes"", ""img"": ""http://news.bbcimg.co.uk/media/images/78061000/jpg/_78061815_hi023764851-1.jpg"", ""ebolapeople"": ""Yes""}",27,547,None,None,188.184.71.120,Yes,Yes,Yes,Yes,http://news.bbcimg.co.uk/media/images/78061000/jpg/_78061815_hi023764851-1.jpg,,,
None,2015-05-07T10:40:45.497292,2015-05-07T10:40:45.497310,58,"{""ebolacleaning"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolaallprotective"": ""No"", ""img"": ""https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg"", ""ebolapeople"": ""Yes""}",27,548,None,None,188.184.71.120,No,Yes,Yes,Yes,https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg,,,
None,2015-02-27T15:26:37.233431,2015-02-27T15:26:37.233451,197,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3912/14770269674_63a555e566_b.jpg"", ""task_id"": 573, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,573,None,8,None,Yes,Yes,No,Yes,https://farm4.staticflickr.com/3912/14770269674_63a555e566_b.jpg,TRUE,40,573
None,2015-02-27T15:27:53.200586,2015-02-27T15:27:53.200614,198,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2940/14772318382_3db8c2f134_b.jpg"", ""task_id"": 555, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""Unknown"", ""isMigrated"": true}",27,555,None,8,None,No,Yes,Unknown,Yes,https://farm3.staticflickr.com/2940/14772318382_3db8c2f134_b.jpg,TRUE,40,555
None,2015-03-01T15:41:24.319169,2015-03-01T15:41:24.319190,199,"{""son_app_id"": 40, ""img"": ""https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg"", ""task_id"": 572, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""No"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,572,None,None,77.105.199.86,No,No,No,Yes,https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg,TRUE,40,572
None,2015-02-27T15:26:22.554026,2015-02-27T15:26:22.554045,301,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3851/14770283734_cb6c34e052_b.jpg"", ""task_id"": 554, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,554,None,8,None,No,Yes,No,Yes,https://farm4.staticflickr.com/3851/14770283734_cb6c34e052_b.jpg,TRUE,40,554
None,2015-03-01T15:42:44.635703,2015-03-01T15:42:44.635723,302,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2916/14585957550_55c68776fa_b.jpg"", ""task_id"": 564, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""No"", ""ebolacleaning"": ""Unknown"", ""isMigrated"": true}",27,564,None,None,77.105.199.86,No,No,Unknown,Yes,https://farm3.staticflickr.com/2916/14585957550_55c68776fa_b.jpg,TRUE,40,564
None,2015-04-25T00:34:26.161693,2015-04-25T00:34:26.161712,307,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2916/14585957550_55c68776fa_b.jpg"", ""task_id"": 564, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""No"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,564,None,None,220.237.115.183,No,No,No,Yes,https://farm3.staticflickr.com/2916/14585957550_55c68776fa_b.jpg,TRUE,40,564
None,2015-04-25T00:35:13.495149,2015-04-25T00:35:13.495180,308,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3912/14770269674_63a555e566_b.jpg"", ""task_id"": 573, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,573,None,None,220.237.115.183,Yes,Yes,No,Yes,https://farm4.staticflickr.com/3912/14770269674_63a555e566_b.jpg,TRUE,40,573
None,2015-04-28T13:11:35.765465,2015-04-28T13:11:35.765493,313,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2916/14585957550_55c68776fa_b.jpg"", ""task_id"": 564, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""No"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,564,None,197,None,No,No,No,Yes,https://farm3.staticflickr.com/2916/14585957550_55c68776fa_b.jpg,TRUE,40,564
None,2015-04-28T13:11:58.987752,2015-04-28T13:11:58.987788,314,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg"", ""task_id"": 548, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,548,None,197,None,No,Yes,No,Yes,https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg,TRUE,40,548
None,2015-02-27T15:25:25.950209,2015-02-27T15:25:25.950230,321,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2916/14585957550_55c68776fa_b.jpg"", ""task_id"": 564, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""No"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,564,None,8,None,No,No,No,Yes,https://farm3.staticflickr.com/2916/14585957550_55c68776fa_b.jpg,TRUE,40,564
None,2015-02-27T15:25:54.276146,2015-02-27T15:25:54.276166,322,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg"", ""task_id"": 548, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,548,None,8,None,No,Yes,No,Yes,https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg,TRUE,40,548
None,2015-02-27T15:24:37.741556,2015-02-27T15:24:37.741575,347,"{""son_app_id"": 41, ""img"": ""https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg"", ""task_id"": 572, ""isRelevant"": ""No"", ""latlancoords"": ""unknown"", ""isMigrated"": true}",27,572,None,8,None,https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg,TRUE,No,unknown,41,572,,
None,2015-02-27T15:27:05.832557,2015-02-27T15:27:05.832578,348,"{""son_app_id"": 40, ""img"": ""https://farm6.staticflickr.com/5588/14772299882_c49c3a0c5d_b.jpg"", ""task_id"": 565, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,565,None,8,None,Yes,Yes,No,Yes,https://farm6.staticflickr.com/5588/14772299882_c49c3a0c5d_b.jpg,TRUE,40,565
None,2015-02-27T15:27:20.183020,2015-02-27T15:27:20.183041,349,"{""son_app_id"": 40, ""img"": ""https://farm6.staticflickr.com/5581/14586200430_a71ff808d4_b.jpg"", ""task_id"": 549, ""ebolaallprotective"": """", ""ebolapeople"": """", ""ebolaanyprotective"": """", ""ebolacleaning"": """", ""isMigrated"": true}",27,549,None,8,None,,,,,https://farm6.staticflickr.com/5581/14586200430_a71ff808d4_b.jpg,TRUE,40,549
None,2015-04-25T00:34:43.060020,2015-04-25T00:34:43.060054,356,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg"", ""task_id"": 548, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,548,None,None,220.237.115.183,No,Yes,No,Yes,https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg,TRUE,40,548
None,2015-04-25T00:34:59.135924,2015-04-25T00:34:59.135958,506,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3851/14770283734_cb6c34e052_b.jpg"", ""task_id"": 554, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,554,None,None,220.237.115.183,No,Yes,No,Yes,https://farm4.staticflickr.com/3851/14770283734_cb6c34e052_b.jpg,TRUE,40,554
None,2015-04-25T00:35:12.755763,2015-04-25T00:35:12.755797,520,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3912/14770269674_63a555e566_b.jpg"", ""task_id"": 573, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,573,None,None,220.237.115.183,Yes,Yes,No,Yes,https://farm4.staticflickr.com/3912/14770269674_63a555e566_b.jpg,TRUE,40,573
None,2015-02-12T17:11:06.967886,2015-02-12T17:11:06.967918,541,"{""son_app_id"": 40, ""img"": ""https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg"", ""task_id"": 572, ""ebolaallprotective"": """", ""ebolapeople"": ""No"", ""ebolaanyprotective"": """", ""ebolacleaning"": """", ""isMigrated"": true}",27,572,None,None,189.215.23.51,,,,No,https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg,TRUE,40,572
None,2015-02-12T17:12:50.984764,2015-02-12T17:12:50.984790,542,"{""son_app_id"": 40, ""img"": ""https://farm6.staticflickr.com/5588/14772299882_c49c3a0c5d_b.jpg"", ""task_id"": 565, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,565,None,None,189.215.23.51,Yes,Yes,No,Yes,https://farm6.staticflickr.com/5588/14772299882_c49c3a0c5d_b.jpg,TRUE,40,565
None,2015-02-13T02:40:07.291729,2015-02-13T02:40:07.291750,543,"{""son_app_id"": 40, ""img"": ""https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg"", ""task_id"": 572, ""ebolaallprotective"": """", ""ebolapeople"": ""No"", ""ebolaanyprotective"": """", ""ebolacleaning"": """", ""isMigrated"": true}",27,572,None,None,128.250.0.138,,,,No,https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg,TRUE,40,572
None,2015-02-16T04:38:36.129780,2015-02-16T04:38:36.129808,544,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3851/14770283734_cb6c34e052_b.jpg"", ""task_id"": 554, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""Yes"", ""isMigrated"": true}",27,554,None,None,14.139.82.6,Yes,Yes,Yes,Yes,https://farm4.staticflickr.com/3851/14770283734_cb6c34e052_b.jpg,TRUE,40,554
None,2015-02-12T17:12:38.483197,2015-02-12T17:12:38.483220,552,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3912/14770269674_63a555e566_b.jpg"", ""task_id"": 573, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,573,None,None,189.215.23.51,Yes,Yes,No,Yes,https://farm4.staticflickr.com/3912/14770269674_63a555e566_b.jpg,TRUE,40,573
None,2015-02-12T17:13:54.517154,2015-02-12T17:13:54.517180,553,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2902/14586163497_fe8a24f7ca_b.jpg"", ""task_id"": 566, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""Yes"", ""isMigrated"": true}",27,566,None,None,189.215.23.51,No,Yes,Yes,Yes,https://farm3.staticflickr.com/2902/14586163497_fe8a24f7ca_b.jpg,TRUE,40,566
None,2015-02-13T02:41:14.675332,2015-02-13T02:41:14.675353,554,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg"", ""task_id"": 548, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,548,None,None,128.250.0.138,No,Yes,No,Yes,https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg,TRUE,40,548
None,2015-02-16T04:37:17.849693,2015-02-16T04:37:17.849719,555,"{""son_app_id"": 40, ""img"": ""https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg"", ""task_id"": 572, ""ebolaallprotective"": """", ""ebolapeople"": ""No"", ""ebolaanyprotective"": """", ""ebolacleaning"": """", ""isMigrated"": true}",27,572,None,None,14.139.82.6,,,,No,https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg,TRUE,40,572
None,2015-02-12T17:12:26.449767,2015-02-12T17:12:26.449794,559,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3851/14770283734_cb6c34e052_b.jpg"", ""task_id"": 554, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,554,None,None,189.215.23.51,Yes,Yes,No,Yes,https://farm4.staticflickr.com/3851/14770283734_cb6c34e052_b.jpg,TRUE,40,554
None,2015-02-12T17:13:38.752711,2015-02-12T17:13:38.752733,560,"{""son_app_id"": 40, ""img"": ""https://farm4.staticflickr.com/3864/14769458221_d947c0db80_b.jpg"", ""task_id"": 574, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""Yes"", ""isMigrated"": true}",27,574,None,None,189.215.23.51,Yes,Yes,Yes,Yes,https://farm4.staticflickr.com/3864/14769458221_d947c0db80_b.jpg,TRUE,40,574
None,2015-02-12T17:12:06.910147,2015-02-12T17:12:06.910167,576,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg"", ""task_id"": 548, ""ebolaallprotective"": ""Yes"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""No"", ""isMigrated"": true}",27,548,None,None,189.215.23.51,Yes,Yes,No,Yes,https://farm3.staticflickr.com/2929/14772648475_5b1f76527f_b.jpg,TRUE,40,548
None,2015-02-12T17:13:26.810449,2015-02-12T17:13:26.810469,577,"{""son_app_id"": 40, ""img"": ""https://farm3.staticflickr.com/2940/14772318382_3db8c2f134_b.jpg"", ""task_id"": 555, ""ebolaallprotective"": ""No"", ""ebolapeople"": ""Yes"", ""ebolaanyprotective"": ""Yes"", ""ebolacleaning"": ""Yes"", ""isMigrated"": true}",27,555,None,None,189.215.23.51,No,Yes,Yes,Yes,https://farm3.staticflickr.com/2940/14772318382_3db8c2f134_b.jpg,TRUE,40,555
None,2015-02-13T02:40:02.123146,2015-02-13T02:40:02.123166,578,"{""son_app_id"": 40, ""img"": ""https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg"", ""task_id"": 572, ""ebolaallprotective"": """", ""ebolapeople"": ""No"", ""ebolaanyprotective"": """", ""ebolacleaning"": """", ""isMigrated"": true}",27,572,None,None,128.250.0.138,,,,No,https://farm6.staticflickr.com/5567/14586257059_fde7a18da9_b.jpg,TRUE,40,572
